route_id,route_short_name,route_long_name,scheduled_trips,wheelchair_guaranteed_trips,wheelchair_explicit_ratio,wheelchair_explicit_percentage,wheelchair_data_coverage_percentage,bicycle_guaranteed_trips,bicycle_explicit_ratio,bicycle_explicit_percentage,bicycle_data_coverage_percentage
gr:nmbssncb:1786,EC,Breda (NL) -- Bruxelles-Midi,32,0,0.0,0.0,0.0,32,1.0,100.0,100.0
gr:nmbssncb:948,IC,Anvers-Central -- Binche,2,0,0.0,0.0,0.0,2,1.0,100.0,100.0
gr:nmbssncb:506,IC,Anvers-Central -- Charleroi-Central,36,0,0.0,0.0,0.0,36,1.0,100.0,100.0
gr:nmbssncb:419,IC,Anvers-Central -- Courtrai,1,0,0.0,0.0,0.0,1,1.0,100.0,100.0
gr:nmbssncb:217,IC,Anvers-Central -- Gand-Saint-Pierre,4,0,0.0,0.0,0.0,4,1.0,100.0,100.0
gr:nmbssncb:1118,IC,Anvers-Central -- Hamont,33,0,0.0,0.0,0.0,33,1.0,100.0,100.0
gr:nmbssncb:135,IC,Anvers-Central -- Hasselt,66,0,0.0,0.0,0.0,66,1.0,100.0,100.0
gr:nmbssncb:936,IC,Anvers-Central -- La Panne,31,0,0.0,0.0,0.0,31,1.0,100.0,100.0
gr:nmbssncb:150,IC,Anvers-Central -- Louvain,32,0,0.0,0.0,0.0,32,1.0,100.0,100.0
gr:nmbssncb:117,IC,Anvers-Central -- Mol,2,0,0.0,0.0,0.0,2,1.0,100.0,100.0
gr:nmbssncb:1122,IC,Anvers-Central -- Neerpelt,1,0,0.0,0.0,0.0,1,1.0,100.0,100.0
gr:nmbssncb:468,IC,Anvers-Central -- Ostende,34,0,0.0,0.0,0.0,34,1.0,100.0,100.0
gr:nmbssncb:1519,IC,Anvers-Central -- Poperinge,37,0,0.0,0.0,0.0,37,1.0,100.0,100.0
gr:nmbssncb:894,IC,Anvers-Central -- Tongres,4,0,0.0,0.0,0.0,4,1.0,100.0,100.0
gr:nmbssncb:608,IC,Anvers-Central -- Turnhout,33,0,0.0,0.0,0.0,33,1.0,100.0,100.0
gr:nmbssncb:460,IC,Ath -- Courtrai,1,0,0.0,0.0,0.0,1,1.0,100.0,100.0
gr:nmbssncb:967,IC,Ath -- Termonde,2,0,0.0,0.0,0.0,2,1.0,100.0,100.0
gr:nmbssncb:276,IC,Bruges -- Blankenberge,2,0,0.0,0.0,0.0,2,1.0,100.0,100.0
gr:nmbssncb:92,IC,Bruges -- Courtrai,27,0,0.0,0.0,0.0,27,1.0,100.0,100.0
gr:nmbssncb:75,IC,Bruges -- Knokke,2,0,0.0,0.0,0.0,2,1.0,100.0,100.0
gr:nmbssncb:819,IC,Brussels Airport-Zaventem -- Audenarde,1,0,0.0,0.0,0.0,1,1.0,100.0,100.0
gr:nmbssncb:817,IC,Brussels Airport-Zaventem -- Courtrai,5,0,0.0,0.0,0.0,5,1.0,100.0,100.0
gr:nmbssncb:860,IC,Brussels Airport-Zaventem -- Dinant,32,0,0.0,0.0,0.0,32,1.0,100.0,100.0
gr:nmbssncb:794,IC,Brussels Airport-Zaventem -- Gand-Saint-Pierre,36,0,0.0,0.0,0.0,36,1.0,100.0,100.0
gr:nmbssncb:1030,IC,Brussels Airport-Zaventem -- Mons,37,0,0.0,0.0,0.0,37,1.0,100.0,100.0
gr:nmbssncb:821,IC,Brussels Airport-Zaventem -- Ostende,30,0,0.0,0.0,0.0,30,1.0,100.0,100.0
gr:nmbssncb:1032,IC,Brussels Airport-Zaventem -- Quévy,1,0,0.0,0.0,0.0,1,1.0,100.0,100.0
gr:nmbssncb:718,IC,Brussels Airport-Zaventem -- Tournai,36,0,0.0,0.0,0.0,36,1.0,100.0,100.0
gr:nmbssncb:151,IC,Bruxelles-Midi -- Anvers-Central,38,0,0.0,0.0,0.0,38,1.0,100.0,100.0
gr:nmbssncb:164,IC,Bruxelles-Midi -- Arlon,10,0,0.0,0.0,0.0,10,1.0,100.0,100.0
gr:nmbssncb:125,IC,Bruxelles-Midi -- Brussels Airport-Zaventem,7,0,0.0,0.0,0.0,7,1.0,100.0,100.0
gr:nmbssncb:181,IC,Bruxelles-Midi -- Ciney,1,0,0.0,0.0,0.0,1,1.0,100.0,100.0
gr:nmbssncb:510,IC,Bruxelles-Midi -- Essen,4,0,0.0,0.0,0.0,4,1.0,100.0,100.0
gr:nmbssncb:405,IC,Bruxelles-Midi -- Gand-Saint-Pierre,1,0,0.0,0.0,0.0,1,1.0,100.0,100.0
gr:nmbssncb:1005,IC,Bruxelles-Midi -- Genk,1,0,0.0,0.0,0.0,1,1.0,100.0,100.0
gr:nmbssncb:838,IC,Bruxelles-Midi -- Liège-Saint-Lambert,30,0,0.0,0.0,0.0,30,1.0,100.0,100.0
gr:nmbssncb:192,IC,Bruxelles-Midi -- Rochefort-Jemelle,2,0,0.0,0.0,0.0,2,1.0,100.0,100.0
gr:nmbssncb:275,IC,Bruxelles-Nord -- Blankenberge,2,0,0.0,0.0,0.0,2,1.0,100.0,100.0
